Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2020-01-02,208.98170471191406,208.9916611857842,205.4850670923298,205.9632362503966,12077100
2020-01-03,207.87591552734375,209.5993278476401,206.1624596803162,206.42147999252987,11188400
2020-01-06,211.79098510742188,211.9702928450579,205.734119913227,205.91342765086304,17058900
2020-01-07,212.2492218017578,213.76344186963544,210.94420929091677,212.01014482311425,14912400
2020-01-08,214.4010009765625,215.41712371504224,211.80093248741233,212.1894477696659,13475000
2020-01-09,217.4692840576172,217.5489814496444,215.45696671091858,216.7121664337201,12642800
2020-01-10,217.23020935058594,219.04329096338108,216.59264536382022,218.365870677035,12119400
2020-01-13,221.0655517578125,221.1253210028928,218.3758293241344,218.76434461787986,14463400
2020-01-14,218.22637939453125,221.5337526530094,217.79802302710817,220.76667858028864,13288900
2020-01-15,220.3084259033203,220.83640781614022,219.3022748469645,219.7704875169328,10036500
2020-01-16,220.9260711669922,221.7827990940601,219.55131781407047,221.7230298527544,10015300
2020-01-17,221.294677734375,221.4441008507693,219.69080374860556,221.1850957154445,15905900
2020-01-21,220.5973358154297,221.52378950195134,218.28615703493648,221.31459714725702,14275800
2020-01-22,220.47779846191406,221.90234945838608,220.43794216509443,221.46402139771055,12212800
2020-01-23,218.92372131347656,220.64714892772494,218.43559568461785,219.9099594464481,11195000
2020-01-24,217.11065673828125,220.93604041017585,215.2876187694744,219.95977394406935,11905800
2020-01-27,214.05233764648438,215.2378117013849,211.69136121155654,212.28908407644343,13810700
2020-01-28,216.9612274169922,217.90762450066273,212.7074871808823,215.3175123150707,13413800
2020-01-29,222.38050842285156,223.34681836667303,217.6186996196204,220.59732684034796,33181300
2020-01-30,208.732666015625,210.62542979044053,203.9708567541024,205.74408203387992,48775500
2020-01-31,201.14166259765625,207.89586101350113,200.29489107678893,207.63684067968467,31359900
2020-02-03,203.41297912597656,204.35936096197258,201.72940780893686,202.66583317112864,15495600
2020-02-04,209.03152465820312,209.7985987927944,204.4191385771676,205.83373315218685,19628900
2020-02-05,209.31044006347656,211.92046495210462,207.91577375674157,211.7013009323716,12538200
2020-02-06,210.04763793945312,210.3863404560038,208.54337436177352,209.66907912641216,10567500
2020-02-07,211.52198791503906,212.01012871054388,209.13111190524342,209.49971422051127,12242500
2020-02-10,212.2492218017578,212.98641128759692,209.85836081098134,210.71508878614222,11856400
2020-02-11,206.4015655517578,210.05759797956097,205.72414530643192,209.3901494088886,25030800
2020-02-12,209.9579620361328,210.41621822650941,206.61074767393708,207.05904739087694,13813700
2020-02-13,212.32891845703125,213.51439247443096,208.38398111516298,208.72269883493678,15396600
2020-02-14,213.3649444580078,214.1120903811368,211.84076799088248,213.18563673280374,10741700
2020-02-18,216.97119140625,217.15049914161023,212.58792595518747,212.73736426871122,15609200
2020-02-19,216.66236877441406,217.48921211553971,215.28761536378062,217.16046607383507,12135100
2020-02-20,213.76344299316406,217.93750087545428,212.13964090129903,215.69606298454914,13109200
2020-02-21,209.38018798828125,213.42475110828178,208.03533430714458,212.667633432267,14092300
2020-02-24,199.95619201660156,202.87503505427946,197.41589261066665,201.03208406619956,23080100
2020-02-25,196.02122497558594,202.7256106946917,195.20433806857676,201.48036738575624,21433500
2020-02-26,196.44956970214844,200.4443197282613,194.74608546917142,196.43961322852934,16524500
2020-02-27,189.0279083251953,195.13458553742868,188.77885969762588,191.09003825781667,21682600
2020-02-28,191.73757934570312,192.0065561487702,181.1281127441163,182.00475367147885,32568900
2020-03-02,195.6924591064453,195.82196926169493,188.13134614823423,193.29162660169925,24949000
2020-03-03,185.1826171875,196.4894321976902,183.26992534238775,195.4733094297256,27984100
2020-03-04,191.0302734375,191.1000143567284,185.68071323213715,188.45013303907226,23062500
2020-03-05,184.46534729003906,188.2708178559003,183.19021945243765,186.06922116087372,19333400
2020-03-06,180.40086364746094,183.0806293631662,175.58924224726343,177.65137221908617,24559600
2020-03-09,168.85499572753906,174.33406638536482,164.56139915324968,168.9546212743347,29949000
2020-03-10,177.5119171142578,177.61152745321115,168.85498366139,174.0053078876241,24517800
2020-03-11,169.59217834472656,175.21071541879763,167.0219943894663,173.3478211345171,20373900
2020-03-12,153.88218688964844,165.96603270824437,153.75267672252585,158.93288579801953,43266300
2020-03-13,169.6320037841797,170.14005752351306,157.00026440796933,162.9076906895614,35028600
2020-03-16,145.45437622070312,158.5244604412561,142.5554613248833,151.74037726739235,39120400
2020-03-17,148.8513946533203,153.35419848172117,139.4672433866751,150.16637881588466,34255600
2020-03-18,146.40077209472656,147.6161155800919,136.57829226168954,139.2182019974518,37553100
2020-03-19,152.5472869873047,159.32139824105937,144.24898398065923,146.06205028423696,39862300
2020-03-20,149.1602325439453,158.66393877273035,147.43681991866666,155.42630590289477,32568400
2020-03-23,147.53643798828125,151.73040907298997,141.70869303789186,149.09049925485857,29830800
2020-03-24,160.36741638183594,160.6961624524787,151.98943062064637,154.6193839850638,30440400
2020-03-25,155.61557006835938,162.36976845358615,152.4775478588327,158.31524900720504,35184300
2020-03-26,162.7184295654297,163.37592167889656,156.4224873173023,157.64780247369134,26556800
2020-03-27,156.193359375,159.48080490515676,154.1611288876752,157.59799754163353,24879900
2020-03-30,165.31849670410156,166.11545545256448,157.45852163884277,158.57425476625656,22515200
2020-03-31,166.16526794433594,170.27954144509982,163.57515581637918,164.85028373148052,23676300
2020-04-01,158.99266052246094,163.5253336858919,157.43858421419338,161.00496262288522,19507600
2020-04-02,157.5880126953125,160.73599100959427,155.32664689098812,158.49455335176384,20886300
2020-04-03,153.59329223632812,157.30910942846245,150.25604909684304,156.55199172461369,25983300
2020-04-06,164.92002868652344,165.56754913399064,157.90680978118223,159.5405684124167,28453600
2020-04-07,168.18753051757812,172.73017530954777,165.37825454317846,171.13625792256207,31411900
2020-04-08,173.61679077148438,174.3340520875596,167.10168488464456,170.59832239996905,21664200
2020-04-09,174.52333068847656,176.40613783434068,170.91711117752652,175.23062032700508,23534300
2020-04-13,174.1248321533203,174.33403968926507,168.80515710468973,173.00909916354004,19355400
2020-04-14,177.4919891357422,180.54034216378855,175.94788447362004,178.29890432543408,21011800
2020-04-15,176.29653930664062,177.51189779495076,172.16233827230008,174.52331433859234,17423000
2020-04-16,175.57928466796875,177.37243784940307,171.85351167991757,177.27281231682034,23593200
2020-04-17,178.5579376220703,179.59397338764472,175.9877535565947,178.5180813229765,20974800
2020-04-20,177.56173706054688,179.81313146143222,176.09732973231,176.73489369012768,16110700
2020-04-21,170.15003967285156,174.7126127368552,167.69939428361732,174.5831025754209,24850500
2020-04-22,181.58636474609375,184.07685144186607,177.46211938592376,177.77093730408362,33242000
2020-04-23,184.42552185058594,186.33821376934893,182.4530454837506,183.37951441982008,21426600
2020-04-24,189.3467254638672,189.68542799855737,180.1418813749501,182.53274246781797,28792000
2020-04-27,186.78648376464844,193.01269989013673,186.69682990061492,191.92685144602507,29197800
2020-04-28,182.21395874023438,188.48001611363534,181.86528454840263,187.94207771557387,21731000
2020-04-29,193.45103454589844,196.16068511233217,189.27697668066693,190.2034303754408,45954500
2020-04-30,203.93101501464844,208.89206015254038,200.8029643982884,206.13259669520463,46230100
2020-05-01,201.5002899169922,206.4912194877957,198.29254202654985,200.83284134609838,30415600
2020-05-04,204.47889709472656,205.12643270190188,198.0036322273125,199.43815487620915,19250700
2020-05-05,206.28201293945312,209.5794144706286,205.71417474912568,206.23220017176646,21071200
2020-05-06,207.67669677734375,210.79479084916795,205.87358692008493,207.32802257479946,21857000
2020-05-07,210.45608520507812,210.79480295298197,208.24453177230288,210.3564748562914,15152000
2020-05-08,211.5419158935547,212.39864380292292,210.04762408889306,211.43233388651728,12506000
2020-05-11,212.36875915527344,214.18184063748214,209.56945473998766,210.08748019215062,12911900
2020-05-12,209.3004913330078,214.46077205955015,209.20086579281718,212.47833933525308,14704600
